algo,bucket,atk_style,fpr,threshold,tpr_clean,tpr_attack,n,file,attack_ratio,attack_seed
kgw,ppl_12_20,token,0.2,0.8485319339365254,1.0,1.0,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_3_5,char,0.01,2.1878474382131707,0.8432055749128919,0.7386759581881533,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,char,0.05,1.5276379211183189,0.9094076655052264,0.8571428571428571,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,char,0.1,1.1532026875219443,0.9442508710801394,0.8989547038327527,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,char,0.2,0.8485319339365254,0.9616724738675958,0.9407665505226481,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,token,0.01,2.1878474382131707,0.8432055749128919,0.7491289198606271,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,token,0.05,1.5276379211183189,0.9094076655052264,0.8501742160278746,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,token,0.1,1.1532026875219443,0.9442508710801394,0.8989547038327527,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_3_5,token,0.2,0.8485319339365254,0.9616724738675958,0.9303135888501742,287,outputs/wm_eval/kgw/ppl_3_5.csv,0.02,0
kgw,ppl_5_8,char,0.01,2.1878474382131707,0.8974358974358975,0.8351648351648352,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_5_8,char,0.05,1.5276379211183189,0.9633699633699634,0.9157509157509157,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_5_8,char,0.1,1.1532026875219443,0.9743589743589743,0.945054945054945,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
