row_idx,attack_ratio,seed_used,attack_style_used,seed_window_chars,n_bytes,clean_tokens,attacked_tokens,traced_tokens,extra_token_count_in_traced,tail_match_rate_over_traced,green_flip_rate_uid_cleanfp_vs_attackfp,aligned_tokens,aligned_rate_over_traced,uid_match_rate_aligned,token_id_match_rate_aligned,char_ops,char_replace,char_delete,char_insert,segment_char_len,actual_char_edit_rate
143,0.0,143,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
144,0.0,144,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
145,0.0,145,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
146,0.0,146,none,18,3,152,152,124,0,1.0,0.0,124,1.0,1.0,1.0,0,0,0,0,0,0.0
147,0.0,147,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
148,0.0,148,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
149,0.0,149,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
150,0.0,150,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
151,0.0,151,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
152,0.0,152,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
153,0.0,153,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
154,0.0,154,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
155,0.0,155,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
156,0.0,156,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,0.9921875,0,0,0,0,0,0.0
157,0.0,157,none,18,3,164,164,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
158,0.0,158,none,18,3,162,162,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
159,0.0,159,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
160,0.0,160,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
161,0.0,161,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
162,0.0,162,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
163,0.0,163,none,18,3,168,168,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
164,0.0,164,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
165,0.0,165,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
166,0.0,166,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
167,0.0,167,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
168,0.0,168,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
169,0.0,169,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
170,0.0,170,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
171,0.0,171,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
172,0.0,172,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
173,0.0,173,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
174,0.0,174,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
175,0.0,175,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
176,0.0,176,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
177,0.0,177,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
178,0.0,178,none,18,3,172,172,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
179,0.0,179,none,18,3,175,175,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
180,0.0,180,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
181,0.0,181,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
182,0.0,182,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
183,0.0,183,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
184,0.0,184,none,18,3,161,161,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
185,0.0,185,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
186,0.0,186,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
187,0.0,187,none,18,3,161,161,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
188,0.0,188,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
189,0.0,189,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
190,0.0,190,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
191,0.0,191,none,18,3,150,150,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
192,0.0,192,none,18,3,155,155,127,0,1.0,0.0,127,1.0,1.0,1.0,0,0,0,0,0,0.0
193,0.0,193,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
194,0.0,194,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
195,0.0,195,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
196,0.0,196,none,18,3,163,163,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
197,0.0,197,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
198,0.0,198,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
199,0.0,199,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,0.9921875,0,0,0,0,0,0.0
0,0.01,10000,x_replace,18,3,161,169,136,8,0.8308823529411765,0.014705882352941176,128,0.9411764705882353,0.9609375,0.9609375,6,6,0,0,550,0.01090909090909091
1,0.01,10001,homo_replace,18,3,163,168,133,6,0.8120300751879699,0.007518796992481203,127,0.9548872180451128,0.9763779527559056,0.968503937007874,5,5,0,0,511,0.009784735812133072
2,0.01,10002,homo_replace,18,3,157,167,137,10,0.781021897810219,0.014598540145985401,127,0.927007299270073,0.968503937007874,0.952755905511811,6,6,0,0,584,0.010273972602739725
3,0.01,10003,homo_replace,18,3,151,161,138,10,0.8333333333333334,0.021739130434782608,128,0.927536231884058,0.9609375,0.9609375,6,6,0,0,601,0.009983361064891847
4,0.01,10004,mixed,18,3,157,168,139,82,0.2949640287769784,0.06474820143884892,57,0.41007194244604317,0.7368421052631579,0.7368421052631579,8,2,3,3,771,0.010376134889753566
5,0.01,10005,homo_replace,18,3,152,159,135,7,0.8222222222222222,0.022222222222222223,128,0.9481481481481482,0.96875,0.953125,6,6,0,0,561,0.0106951871657754
6,0.01,10006,zw_insert,18,3,158,166,136,92,0.17647058823529413,0.09558823529411764,44,0.3235294117647059,0.5,0.5,6,0,0,6,579,0.010362694300518135
7,0.01,10007,zw_insert,18,3,155,172,145,98,0.20689655172413793,0.10344827586206896,47,0.32413793103448274,0.5957446808510638,0.5957446808510638,7,0,0,7,658,0.010638297872340425
8,0.01,10008,zw_insert,18,3,152,160,136,96,0.1323529411764706,0.058823529411764705,40,0.29411764705882354,0.425,0.425,5,0,0,5,514,0.009727626459143969
9,0.01,10009,ascii_replace,18,3,159,163,132,4,0.803030303030303,0.015151515151515152,128,0.9696969696969697,0.96875,0.96875,5,5,0,0,463,0.01079913606911447
10,0.01,10010,zw_insert,18,3,152,165,141,110,0.06382978723404255,0.06382978723404255,31,0.2198581560283688,0.22580645161290322,0.1935483870967742,6,0,0,6,631,0.009508716323296355
11,0.01,10011,zw_insert,18,3,153,166,141,87,0.22695035460992907,0.09219858156028368,54,0.3829787234042553,0.5555555555555556,0.5555555555555556,6,0,0,6,609,0.009852216748768473
12,0.01,10012,x_replace,18,3,153,161,136,8,0.8235294117647058,0.014705882352941176,128,0.9411764705882353,0.953125,0.9453125,7,7,0,0,664,0.010542168674698794
